,index,song_id,song,sp_name,tiktok_stats,value,timestp,diff
51,0,1,Roxanne,ROXANNE,"{'value': 2517116, 'timestp': '2020-04-05T00:00:00.000Z', 'diff': 3699}",2517116.0,2020-04-05T00:00:00.000Z,3699.0
52,0,1,Roxanne,ROXANNE,"{'value': 2520463, 'timestp': '2020-04-06T00:00:00.000Z', 'diff': 3347}",2520463.0,2020-04-06T00:00:00.000Z,3347.0
53,0,1,Roxanne,ROXANNE,"{'value': 2523639, 'timestp': '2020-04-07T00:00:00.000Z', 'diff': 3176}",2523639.0,2020-04-07T00:00:00.000Z,3176.0
54,0,1,Roxanne,ROXANNE,"{'value': 2526219, 'timestp': '2020-04-08T00:00:00.000Z', 'diff': 2580}",2526219.0,2020-04-08T00:00:00.000Z,2580.0
55,0,1,Roxanne,ROXANNE,"{'value': 2528894, 'timestp': '2020-04-09T00:00:00.000Z', 'diff': 2675}",2528894.0,2020-04-09T00:00:00.000Z,2675.0
56,0,1,Roxanne,ROXANNE,"{'value': 2531977, 'timestp': '2020-04-10T00:00:00.000Z', 'diff': 3083}",2531977.0,2020-04-10T00:00:00.000Z,3083.0
57,0,1,Roxanne,ROXANNE,"{'value': 2535618, 'timestp': '2020-04-11T00:00:00.000Z', 'diff': 3641}",2535618.0,2020-04-11T00:00:00.000Z,3641.0
58,0,1,Roxanne,ROXANNE,"{'value': 2540294, 'timestp': '2020-04-12T00:00:00.000Z', 'diff': 4676}",2540294.0,2020-04-12T00:00:00.000Z,4676.0
59,0,1,Roxanne,ROXANNE,"{'value': 2543670, 'timestp': '2020-04-13T00:00:00.000Z', 'diff': 3376}",2543670.0,2020-04-13T00:00:00.000Z,3376.0
60,0,1,Roxanne,ROXANNE,"{'value': 2546806, 'timestp': '2020-04-14T00:00:00.000Z', 'diff': 3136}",2546806.0,2020-04-14T00:00:00.000Z,3136.0
61,0,1,Roxanne,ROXANNE,"{'value': 2549802, 'timestp': '2020-04-15T00:00:00.000Z', 'diff': 2996}",2549802.0,2020-04-15T00:00:00.000Z,2996.0
62,0,1,Roxanne,ROXANNE,"{'value': 2547047, 'timestp': '2020-04-17T00:00:00.000Z', 'diff': -2755}",2547047.0,2020-04-17T00:00:00.000Z,-2755.0
63,0,1,Roxanne,ROXANNE,"{'value': 2547028, 'timestp': '2020-04-18T00:00:00.000Z', 'diff': -19}",2547028.0,2020-04-18T00:00:00.000Z,-19.0
64,0,1,Roxanne,ROXANNE,"{'value': 2547656, 'timestp': '2020-04-19T00:00:00.000Z', 'diff': 628}",2547656.0,2020-04-19T00:00:00.000Z,628.0
65,0,1,Roxanne,ROXANNE,"{'value': 2548114, 'timestp': '2020-04-20T00:00:00.000Z', 'diff': 458}",2548114.0,2020-04-20T00:00:00.000Z,458.0
66,0,1,Roxanne,ROXANNE,"{'value': 2548537, 'timestp': '2020-04-21T00:00:00.000Z', 'diff': 423}",2548537.0,2020-04-21T00:00:00.000Z,423.0
67,0,1,Roxanne,ROXANNE,"{'value': 2549179, 'timestp': '2020-04-22T00:00:00.000Z', 'diff': 642}",2549179.0,2020-04-22T00:00:00.000Z,642.0
68,0,1,Roxanne,ROXANNE,"{'value': 2550278, 'timestp': '2020-04-23T00:00:00.000Z', 'diff': 1099}",2550278.0,2020-04-23T00:00:00.000Z,1099.0
69,0,1,Roxanne,ROXANNE,"{'value': 2550845, 'timestp': '2020-04-24T00:00:00.000Z', 'diff': 567}",2550845.0,2020-04-24T00:00:00.000Z,567.0
70,0,1,Roxanne,ROXANNE,"{'value': 2550739, 'timestp': '2020-04-25T00:00:00.000Z', 'diff': -106}",2550739.0,2020-04-25T00:00:00.000Z,-106.0
71,0,1,Roxanne,ROXANNE,"{'value': 2551551, 'timestp': '2020-04-26T00:00:00.000Z', 'diff': 812}",2551551.0,2020-04-26T00:00:00.000Z,812.0
72,0,1,Roxanne,ROXANNE,"{'value': 2551072, 'timestp': '2020-04-27T00:00:00.000Z', 'diff': -479}",2551072.0,2020-04-27T00:00:00.000Z,-479.0
73,0,1,Roxanne,ROXANNE,"{'value': 2551161, 'timestp': '2020-04-28T00:00:00.000Z', 'diff': 89}",2551161.0,2020-04-28T00:00:00.000Z,89.0
